,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,Year,Home_rank,Away_rank
36198,2014-09-04,Belgium,Australia,2,0,Friendly,Liège,Belgium,False,2014,[11],[]
36199,2014-09-04,Bosnia and Herzegovina,Liechtenstein,3,0,Friendly,Tuzla,Bosnia and Herzegovina,False,2014,[19],[156]
36200,2014-09-04,China PR,Kuwait,3,1,Friendly,Anshan,China PR,False,2014,[92],[106]
36201,2014-09-04,Croatia,Cyprus,2,0,Friendly,Pula,Croatia,False,2014,[16],[125]
36202,2014-09-04,France,Spain,1,0,Friendly,Saint-Denis,France,False,2014,[20],[1]
36203,2014-09-04,Iraq,Peru,0,2,Friendly,Dubai,United Arab Emirates,True,2014,[115],[42]
36204,2014-09-04,Italy,Netherlands,2,0,Friendly,Bari,Italy,False,2014,[7],[9]
36205,2014-09-04,Slovakia,Malta,1,0,Friendly,Žilina,Slovakia,False,2014,[60],[130 131]
36206,2014-09-04,Sweden,Estonia,2,0,Friendly,Solna,Sweden,False,2014,[26],[93]
36207,2014-09-04,Uzbekistan,Jordan,2,0,Friendly,Tashkent,Uzbekistan,False,2014,[65 57],[72]
36208,2014-09-05,Curaçao,Grenada,2,1,CFU Caribbean Cup qualification,Bayamón,Puerto Rico,True,2014,[178],[134]
36209,2014-09-05,Guinea,Togo,2,1,African Cup of Nations qualification,Casablanca,Morocco,True,2014,[61],[71]
36210,2014-09-05,Japan,Uruguay,0,2,Friendly,Sapporo,Japan,False,2014,[48],[6]
36211,2014-09-05,Kazakhstan,Kyrgyzstan,7,1,Friendly,Astana,Kazakhstan,False,2014,[128],[]
36212,2014-09-05,South Korea,Venezuela,3,1,Friendly,Bucheon,South Korea,False,2014,[],[39]
36213,2014-09-05,Puerto Rico,French Guiana,1,2,CFU Caribbean Cup qualification,Bayamón,Puerto Rico,False,2014,[157],[]
36214,2014-09-05,Senegal,Egypt,2,0,African Cup of Nations qualification,Dakar,Senegal,False,2014,[68],[31]
36215,2014-09-05,Saint Kitts and Nevis,Dominica,5,0,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False,2014,[],[]
36216,2014-09-05,Saint Lucia,Guyana,2,0,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,True,2014,[],[151]
36217,2014-09-05,Saint Vincent and the Grenadines,Anguilla,4,0,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,True,2014,[],[206]
36218,2014-09-05,Sudan,South Africa,0,3,African Cup of Nations qualification,Omdurman,Sudan,False,2014,[119],[54 64]
36219,2014-09-05,Suriname,Bonaire,2,3,CFU Caribbean Cup qualification,Rivière-Pilote,Martinique,True,2014,[132],[]
36220,2014-09-06,Burkina Faso,Lesotho,2,0,African Cup of Nations qualification,Ouagadougou,Burkina Faso,False,2014,[58],[138 139]
36221,2014-09-06,DR Congo,Cameroon,0,2,African Cup of Nations qualification,Lubumbashi,DR Congo,False,2014,[],[50]
36222,2014-09-06,Ethiopia,Algeria,1,2,African Cup of Nations qualification,Addis Abeba,Ethiopia,False,2014,[95],[27]
36223,2014-09-06,Gabon,Angola,1,0,African Cup of Nations qualification,Libreville,Gabon,False,2014,[],[89]
36224,2014-09-06,Ghana,Uganda,1,1,African Cup of Nations qualification,Kumasi,Ghana,False,2014,[24],[87]
36225,2014-09-06,Ivory Coast,Sierra Leone,2,1,African Cup of Nations qualification,Abidjan,Ivory Coast,False,2014,[],[76]
36226,2014-09-06,Mexico,Chile,0,0,Friendly,Santa Clara,United States,True,2014,[21],[15]
36227,2014-09-06,Niger,Cape Verde,1,3,African Cup of Nations qualification,Niamey,Niger,False,2014,[104],[]
36228,2014-09-06,Nigeria,Congo,2,3,African Cup of Nations qualification,Calabar,Nigeria,False,2014,[41],[85 86]
36229,2014-09-06,Palestine,Chinese Taipei,7,3,Friendly,Manila,Philippines,True,2014,[142],[167]
